name,section,query,name,name_desc,desc,lib,return_vals,env,files,exit_status,diagnostics,errors,md5_hash,machine,total_score
getextattr,1,getextattr,7.112095,0.000000,0.005031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.117126
getextattr,1,getextattr,7.112095,0.000000,0.005031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.117126
mkfilters,1,perl,0.000000,0.000000,0.000783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000783
dhcpcd,8,dhcpcd,5.516407,0.000000,0.000731,0.000000,0.000000,0.000000,0.000326,0.000000,0.000000,0.000000,0.000000,0.000000,8.500284
sed,1,sed,7.425980,0.000000,0.000623,0.000000,0.000000,0.059761,0.000000,0.005692,0.000000,0.000000,0.000000,0.000000,7.492056
wsdisplay,4,splash,0.000000,0.000000,0.000096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000096
options,4,splash,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000096
boot,8,splash,0.000000,0.000000,0.000088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000096
boot,8,splash,0.000000,0.000000,0.000088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000096
ct,4,cat,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048035,0.000000,0.000000,0.000000,0.000000,0.000000,12.549046
ps,1,ps,10.217565,0.000000,0.000094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.914441
pkill,1,ps,0.000000,0.000000,0.000058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.914441
ral,4,ral,12.925912,0.000000,0.002695,0.000000,0.000000,0.000000,0.002678,0.000000,0.205315,0.000000,0.000000,0.000000,13.136600
lio_listio,3,list,0.000000,0.049321,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000196,0.000000,0.000000,0.122902
grep,1,Grep,6.789480,0.000000,0.000540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.790020
kqueue,2,kqueue,7.170581,0.000000,0.000859,0.000000,0.000050,0.000000,0.000000,0.000000,0.000000,0.002006,0.000000,0.000000,7.173496
ls,1,ls,13.034917,0.000000,0.000120,0.000000,0.000000,0.020594,0.000000,0.009991,0.000000,0.000000,0.000000,0.000000,13.065621
kill,1,terminate a process,0.000000,0.051612,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.190555
audiocfg,1,audiocfg,7.419988,0.000000,0.035097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.455084
ps,1,ps,10.217565,0.000000,0.000094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.914441
kill,1,terminate process,0.000000,0.051612,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.190555
kill,1,terminate process,0.000000,0.051612,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.190555
kill,1,terminate process,0.000000,0.051612,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.190555
kill,1,terminate process,0.000000,0.051612,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.190555
kill,1,terminate process,0.000000,0.051612,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.190555
